time,amount_xch
2023-10-13,200000.000000000000
2023-12-07,50000.000000000000
2024-02-01,50000.000000000000
2024-03-20,50000.000000000000
2024-04-03,47872.000000000000
2024-04-03,50000.000000000000
2024-05-07,50000.000000000000
2024-05-23,50000.000000000000
2024-06-21,50000.000000000000
2024-07-12,50000.000000000000
2024-08-06,50000.000000000000
2024-08-30,50000.000000000000
2024-09-09,50000.000000000000
2024-09-17,50000.000000000000
2024-09-25,50000.000000000000
2024-09-26,170302.309999999998
2024-10-15,50000.000000000000
2024-10-24,50000.000000000000
2024-11-08,50000.000000000000
2024-11-25,50000.000000000000
2024-12-12,44325.690000000002
2024-12-24,50000.000000000000
2024-12-24,189224.790000000008
2024-12-31,14000.139999999999
2025-01-23,50000.000000000000
2025-02-07,50000.000000000000
2025-02-10,4016.000000000000
2025-02-19,50000.000000000000
2025-03-04,50000.000000000000
2025-03-15,50000.000000000000
2025-03-24,50000.000000000000
2025-04-01,50000.000000000000
2025-04-09,50000.000000000000
2025-04-18,50000.000000000000
2025-04-30,50000.000000000000
2025-05-12,50000.000000000000
2025-05-22,50000.000000000000
